Title,Subtitle,Series,Author,"Author (Last, First)",Year Published,Genre,Number of Pages,Tags
'Til Wrong Feels Right,Lyrics and More,,Iggy Pop,"Pop, Iggy",2019,Music,288,Rock and Roll
"""The Boy Looked at Johnny""",The Obituary of Rock and Roll,,"Julie Burchill,Tony Parsons","Burchill, Julie",1987,Music,95,Rock and Roll
12 Days on the Road,The Sex Pistols and America,,"Noel E. Monk,Jimmy Guterman","Monk, Noel E.",1990,Biography & Autobiography,238,Rock and Roll
A Man Called Destruction,"The Life and Music of Alex Chilton, from Box Tops to Big Star to Backdoor Man",,Holly George-Warren,"George-Warren, Holly",2014,Biography & Autobiography,370,"Biography,Rock and Roll"
A Preferred Blur,"(reflections, Inspections, and Travel in All Directions 2007)",,Henry Rollins,"Rollins, Henry",2009,Music,381,Rock and Roll
A Problem From Hell,America and the Age of Genocide,,Samantha Power,"Power, Samantha",2002,History,640,
"A Spectre, Haunting",On the Communist Manifesto,,China Miéville,"Miéville, China",2022,History,320,
A Whore Just Like The Rest,The Music Writings Of Richard Meltzer,,Richard Meltzer,"Meltzer, Richard",2000,Social Science,608,Rock and Roll
Above the Snowline,,,Steph Swainston,"Swainston, Steph",2010,Fiction,311,New Weird
"Against Interpretation, and Other Essays",,,Susan Sontag,"Sontag, Susan",1990,Literary Criticism,304,
Against the grain,a deep history of the earliest states,,"James C. Scott,Eric Martin","Scott, James C.",2017,History,312,
All about Coffee,,,William H. Ukers,"Ukers, William H.",2011,Cooking,840,
All I Really Need to Know I Learned from Watching Star Trek,,,Dave Marinaccio,"Marinaccio, Dave",1994,Humor,128,
All Shook Up,How Rock 'n' Roll Changed America (Pivotal Moments in American History),,Glenn C. Altschuler,"Altschuler, Glenn C.",2003,History and criticism,226,Rock and Roll
Alternative Rock,,,Dave Thompson,"Thompson, Dave",2000,Music,837,Rock and Roll
Ambergris,City of Saints and Madmen; Shriek: An Afterword; Finch,,Jeff VanderMeer,"VanderMeer, Jeff",2020,Fiction,880,New Weird
American Anthem,Masterworks from the American Folk Art Museum,,"American Folk Art Museum,Brook Davis Anderson,Stacy C. Hollander","Museum, American Folk Art",2001,Art,431,
American Colossus,"The Triumph of Capitalism, 1865-1900",,Henry William Brands,"Brands, Henry William",2010,American history,624,
American Hardcore,A Tribal History,,Steven Blush,"Blush, Steven",2010,Biography & Autobiography,403,Rock and Roll
American Ulysses,A Life of Ulysses S. Grant,,Ronald C. White,"White, Ronald C.",2016,Biography & Autobiography,864,Biography
Amerika,The Man Who Disappeared,,Franz Kafka,"Kafka, Franz",2004,Fiction,216,
Ancillary Justice,,,Ann Leckie,"Leckie, Ann",2013,Fiction,416,
Anger is an Energy,My Life Uncensored,,"John Lydon,Andrew Perry","Lydon, John",2014,Biography & Autobiography,536,Rock and Roll
Area X,The Southern Reach Trilogy: Annihilation; Authority; Acceptance,,Jeff VanderMeer,"VanderMeer, Jeff",2014,Fiction,608,
Astral Weeks,A Secret History of 1968,,Ryan H. Walsh,"Walsh, Ryan H.",2018,Biography & Autobiography,357,Rock and Roll
At the Existentialist Café,"Freedom, Being, and Apricot Cocktails with Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Karl Jaspers, Edmund Husserl, Maurice Merleau-Ponty and Others",,Sarah Bakewell,"Bakewell, Sarah",2016,Biography & Autobiography,439,
Atonement,A Novel,,Ian McEwan,"McEwan, Ian",2003,Fiction,368,
Backlash,The Undeclared War Against American Women,,Susan Faludi,"Faludi, Susan",1991,Political Science,552,
Bayard Rustin,A Legacy of Protest and Politics,,Michael G. Long,"Long, Michael G.",2023,Biography & Autobiography,256,
Being Good,An Introduction to Ethics,,Simon Blackburn,"Blackburn, Simon",2001,Philosophy,162,
Betty Crocker's Best of Baking,More Than 350 of America's Favorite Recipes,,Betty Crocker Editors,"Editors, Betty Crocker",1997,Cooking,444,
Black Coffee Blues,,,Henry Rollins,"Rollins, Henry",1992,Humor,140,
Blue Monday,Fats Domino and the Lost Dawn of Rock 'n' Roll,,Rick Coleman,"Coleman, Rick",2006,Biography & Autobiography,364,Biography
Borne,A Novel,,Jeff VanderMeer,"VanderMeer, Jeff",2017,Fiction,323,New Weird
Brandy,A Global History,,Becky Sue Epstein,"Epstein, Becky Sue",2014,Cooking,151,
Breakfast at Tiffany's,,,Truman Capote,"Capote, Truman",1993,Fiction,160,
Bury My Heart at Wounded Knee,An Indian History of the American West,,Dee Brown,"Brown, Dee",2001,History,487,
Capital in the Twenty-First Century,,,Thomas Piketty,"Piketty, Thomas",2014,Business & Economics,695,
Cat's Cradle,A Novel,,Kurt Vonnegut,"Vonnegut, Kurt",1998,Fiction,304,
Children of Dune,Deluxe Edition,,Frank Herbert,"Herbert, Frank",2023,Fiction,478,
China Mountain Zhang,,,Maureen F. McHugh,"McHugh, Maureen F.",1992,Fiction,313,
Christgau's Record Guide,The '80s,,Robert Christgau,"Christgau, Robert",1990,Music,514,Rock and Roll
Chuck Berry,An American Life,,R. J. Smith,"Smith, R. J.",2022,Biography & Autobiography,432,Rock and Roll
Cinderella's Big Score,Women of the Punk and Indie Underground,,Maria Raha,"Raha, Maria",2004,Music,380,Rock and Roll
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys.",A Memoir,,Viv Albertine,"Albertine, Viv",2014,Biography & Autobiography,421,Rock and Roll
Cobain,,,Fred Woodward,"Woodward, Fred",1994,Rock musicians,143,Rock and Roll
Completely Mad,A History of the Comic Book and Magazine,,Maria Reidelbach,"Reidelbach, Maria",1991,Humor,208,
Corporate Rock Sucks,The Rise and Fall of SST Records,,Jim Ruland,"Ruland, Jim",2022,Business & Economics,432,Rock and Roll
Death's End,,,Cixin Liu,"Liu, Cixin",2016,Fiction,604,
Democracy And Education,,,John Dewey,"Dewey, John",1997,Education,378,
Did Jesus Exist?,The Historical Argument for Jesus of Nazareth,,Bart D. Ehrman,"Ehrman, Bart D.",2012,Religion,368,
Digital Photography Complete Course,Learn Everything You Need to Know in 20 Weeks,,DK,DK,2015,Photography,360,
Do Androids Dream of Electric Sheep?,The inspiration for the films Blade Runner and Blade Runner 2049,,Philip K. Dick,"Dick, Philip K.",1996,Fiction,240,
Dune Messiah,Deluxe Edition,,Frank Herbert,"Herbert, Frank",2023,Fiction,267,
Edward Hopper,The art and the artist,,Edward Hopper,"Hopper, Edward",,,299,
El Sid,Saint Vicious,,David Dalton,"Dalton, David",1997,Biography & Autobiography,223,
Embassytown,,,China Miéville,"Miéville, China",2011,Fiction,345,
"Empire of Liberty:A History of the Early Republic, 1789-1815","A History of the Early Republic, 1789-1815",,Gordon S. Wood,"Wood, Gordon S.",2009,Political Science,800,
Endless Endless,A Lo-Fi History of the Elephant 6 Mystery,,Adam Clair,"Clair, Adam",2022,Biography & Autobiography,362,
Endymion,,,Dan Simmons,"Simmons, Dan",1996,Fiction,468,
Enjoy Your Symptom!,Jacques Lacan in Hollywood and Out,,Slavoj Žižek,"Žižek, Slavoj",2008,Art,280,
Enterprise Zones,Critical Positions,,Taylor Harrison,"Harrison, Taylor",1996,Performing Arts,303,
Escaping the Delta,Robert Johnson and the Invention of the Blues,,Elijah Wald,"Wald, Elijah",2004,Biography & Autobiography,368,
Essays,,,Wallace Shawn,"Shawn, Wallace",2009,Literary Collections,161,
Essential Art Deco,,,Iain Zaczek,"Zaczek, Iain",2000,,256,
Ethics in the Real World,82 Brief Essays on Things That Matter,,Peter Singer,"Singer, Peter",2016,Philosophy,376,
Everybody Loves Our Town,An Oral History of Grunge,,Mark Yarm,"Yarm, Mark",2011,Music,567,Rock and Roll
